title,summary,url
Cargolink,"Cargolink AS is a Norwegian railway company. Owned by the automotive distribution company Autolink, Cargolink has operated both autorack and container trains since November 2008. Cargolink has a fleet of ten diesel locomotives, five shunters, 100 autoracks and 60 container cars. Combined autorack and container trains are operated up to five times per week along the Sørland-, Bergen-, Rauma-, Røros- and Nordland Lines, as well as services through Sweden.
Autolink, the largest distributor of automobiles in Norway, has traditionally bought train services from CargoNet. In 2007, they signed a contract with Ofotbanen, and at the same time bought 40% of the company. However, Ofotbanen was in financial difficulties, causing a dispute between the two owners. The result was that Autolink formally established Cargolink in March 2008, without the knowledge of Ofotbanen, and terminated the contract with Ofotbanen in July. Cargolink received an operating licence in September and service started in November.",https://en.wikipedia.org/wiki/Cargolink
Central Greene School District,"The Central Greene School District is a small, rural public school district located in Greene County, Pennsylvania. The district serves: the Borough of Waynesburg and Franklin Township, Perry Township, Washington Township, Wayne Township and Whiteley Township. It encompasses approximately 168 square miles (440 km2). In 1962, the district was created through an agreed joining of school administrations in each six townships served. The district is located about sixty miles south of Pittsburgh and twenty miles north of Morgantown, West Virginia. According to the 2000 federal census data, Central Greene School District served a resident population of 16,681. By 2010, the district's population declined to 15,902 people. In 2009, the district residents' per capita income was $14,354, while the median family income was $39,358. The educational attainment levels for the population 25 and over were 84.8% high school graduates and 15.8% college graduates.
Central Greene School District operates three schools: Waynesburg Central Elementary School, Margaret Bell Miller Middle School and Waynesburg Central High School. The facilities include a pool, a football stadium, an auditorium, a soccer field and indoor basketball courts that are used as a community center for the Waynesburg area. High school students may choose to attend Greene County Career and Technology Center for training in the construction and mechanical trades. The Intermediate Unit IU1 provides the district with a wide variety of services like specialized education for disabled students and hearing, speech and visual disability services and professional development for staff and faculty.",https://en.wikipedia.org/wiki/Central_Greene_School_District
Wind turbine,"A wind turbine is a device that converts the kinetic energy of wind into electrical energy. As of 2020, hundreds of thousands of large turbines, in installations known as wind farms, were generating over 650 gigawatts of power, with 60 GW added each year. Wind turbines are an increasingly important source of intermittent renewable energy, and are used in many countries to lower energy costs and reduce reliance on fossil fuels. One study claimed that, as of 2009, wind had the ""lowest relative greenhouse gas emissions, the least water consumption demands and the most favorable social impacts"" compared to photovoltaic, hydro, geothermal, coal and gas energy sources.
Smaller wind turbines are used for applications such as battery charging and remote devices such as traffic warning signs. Larger turbines can contribute to a domestic power supply while selling unused power back to the utility supplier via the electrical grid.
Wind turbines are manufactured in a wide range of sizes, with either horizontal or vertical axes, though horizontal is most common.",https://en.wikipedia.org/wiki/Wind_turbine
Valankulam Lake,"Valankulam Lake is one of the lakes in Coimbatore, South India. It is situated between Trichy Road and Sungam bypass road connecting with Ukkadam A railway track connecting Coimbatore Junction and Podanur passes over the lake. Various birds including little grebes and purple moorhen can be seen in this lake.",https://en.wikipedia.org/wiki/Valankulam_Lake
Family7,"Family (from Latin: familia) is a group of people related either by consanguinity (by recognized birth) or affinity (by marriage or other relationship). It forms the basis for social order. Ideally, families offer predictability, structure, and safety as members mature and learn to participate in the community. Historically, most human societies use family as the primary purpose of attachment, nurturance, and socialization.
Anthropologists classify most family organizations as matrifocal (a mother and her children), patrifocal (a father and his children), conjugal (a married couple with children, also called the nuclear family), avuncular (a man, his sister, and her children), or extended (in addition to parents, spouse and children, may include grandparents, aunts, uncles, or cousins).
The field of genealogy aims to trace family lineages through history. The family is also an important economic unit studied in family economics. The word ""families"" can be used metaphorically to create more inclusive categories such as community, nationhood, and global village.",https://en.wikipedia.org/wiki/Family
A249 road,"The A249 is a road in Kent, England, running from Maidstone to Sheerness on the Isle of Sheppey. It mainly functions as a link between the M2 and M20 motorways, and for goods vehicle traffic to the port at Sheerness.
In 2006, an upgraded dual carriageway section opened between Iwade and Queenborough, including a new fixed crossing over the Swale. The existing lifting Kingsferry Bridge was retained as an alternative route. On 5 September 2013, more than 100 vehicles were involved in an accident on the crossing.

",https://en.wikipedia.org/wiki/A249_road
Practical Computing,"Practical Computing was a UK computer magazine published monthly. The magazine was published by IPC Electrical Electronic Press Ltd. The headquarters was in Sutton, Surrey. The first edition was released in August 1978 as a special computer show edition, and the second issue was October 1978. The magazine carried on to 1987 when it merged with Business Computing. In September 1989, it was renamed Management Computing.
It provided in-depth reviews and previews of the latest hardware and software for the information technology enthusiasts and professionals, initially providing a mix of articles aimed at hobbyists and at small business people, later focusing its attention increasingly exclusively on the business and professional market.

",https://en.wikipedia.org/wiki/Practical_Computing
ISKO (clothing company),"ISKO is a textile manufacturer and distributor and the world's largest producer of denim, producing over 250 million meters of denim annually, which it distributes to more than 60 countries worldwide.",https://en.wikipedia.org/wiki/ISKO_(clothing_company)
Amguri Assembly constituency,Amguri Assembly constituency is one of the 126 assembly constituencies in Sivasagar District of  Assam a north east state of India. Amguri is also part of Jorhat Lok Sabha constituency.,https://en.wikipedia.org/wiki/Amguri_Assembly_constituency
1994 UEFA European Under-21 Championship qualification,"The 2025 UEFA European Under-21 Championship qualification is a men's under-21 national football team competition to determine the 15 teams that will be joining the automatically qualified hosts Slovakia in the 2025 UEFA European Under-21 Championship final tournament.
Apart from Slovakia, Liechtenstein (dissolved their U21 team until 2025) and Russia (banned due to the ongoing invasion of Ukraine), all remaining 52 UEFA member national teams entered this qualifying competition. Players born on or after 1 January 2002 are eligible to participate.",https://en.wikipedia.org/wiki/2025_UEFA_European_Under-21_Championship_qualification
Improvised explosive device,"An improvised explosive device (IED) is a bomb constructed and deployed in ways other than in conventional military action. It may be constructed of conventional military explosives, such as an artillery shell, attached to a detonating mechanism. IEDs are commonly used as roadside bombs, or homemade bombs. 
The term ""IED"" was coined by the British Army during the Northern Ireland conflict to refer to booby traps made by the IRA, and entered common use in the U.S. during the Iraq War.
IEDs are generally utilized in terrorist operations or in asymmetric unconventional warfare or urban warfare by insurgent guerrillas or commando forces in a theatre of operations. In the Iraq War (2003–2011), insurgents used IEDs extensively against U.S.-led forces, and by the end of 2007, IEDs were responsible for approximately 63% of coalition deaths in Iraq. They were also used in Afghanistan by insurgent groups, and caused over 66% of coalition casualties in the 2001–2021 Afghanistan War.
IEDs were also used frequently by the Liberation Tigers of Tamil Eelam (LTTE) in Sri Lanka during the Sri Lankan Civil War, and by Ambazonian separatists in the ongoing Anglophone Crisis.

",https://en.wikipedia.org/wiki/Improvised_explosive_device
Quas,"The term prelim (short for preliminary examination) generally refers to an examination that qualifies a student to continue studies at a higher level, and/or allow the student to comprehend their studies and see how prepared they are for an upcoming examination. It can also act as a gauge on how knowledgeable one is within the chosen subject.
Prelim exams may pre-date the qualifying exam at some institutions, although some universities combine both concepts into one exam.

",https://en.wikipedia.org/wiki/Prelim
"Bellevue, Bossier Parish, Louisiana","Bellevue (also Fredonia, Freedonia, Society Hill) is an unincorporated community in Bossier Parish, Louisiana, United States.","https://en.wikipedia.org/wiki/Bellevue,_Bossier_Parish,_Louisiana"
Barra do Cuanza,"Barra do Cuanza is a town and commune of Angola, located in the province of Luanda.

",https://en.wikipedia.org/wiki/Barra_do_Cuanza
"Superior Township, Washtenaw County, Michigan","Superior Charter Township is a charter township of Washtenaw County in the U.S. state of Michigan.  The population was 14,832 at the 2020 census.","https://en.wikipedia.org/wiki/Superior_Township,_Washtenaw_County,_Michigan"
Kiribati National Olympic Committee,Kiribati National Olympic Committee (IOC code: KIR) is the National Olympic Committee representing Kiribati. The same committee is also known as the Kiribati Commonwealth Games Association.,https://en.wikipedia.org/wiki/Kiribati_National_Olympic_Committee
155th meridian west,"The meridian 155° west of Greenwich is a line of longitude that extends from the North Pole across the Arctic Ocean, North America, the Pacific Ocean, the Southern Ocean, and Antarctica to the South Pole.
The 155th meridian west forms a great circle with the 25th meridian east.",https://en.wikipedia.org/wiki/155th_meridian_west
Peasiella habei,"Peasiella habei is a species of sea snail, a marine gastropod mollusk in the family Littorinidae, the winkles or periwinkles.",https://en.wikipedia.org/wiki/Peasiella_habei
Rak Škocjan,"Rak Škocjan (Slovene: Rakov Škocjan; pronounced [ˈɾaːkɔu̯ ʃkɔˈtsjaːn]) is a valley and a landscape park, part of Inner Carniola Regional Park in southwestern Slovenia. Administratively, it belongs to the settlement of Rakov Škocjan. Rak Škocjan has been protected since 1949 and is the oldest landscape park in Slovenia.",https://en.wikipedia.org/wiki/Rak_%C5%A0kocjan
2013 Special Olympics World Winter Games,"The 2013 Special Olympics World Winter Games (Korean: 2013년 동계 스페셜 올림픽 세계대회, romanized: 2013-nyeon Donggye Special Olympics Segye Daehoe) was a Special Olympics, a multi-sports event that was held in Pyeongchang, South Korea from January 29 through February 5, 2013. Though officially allocated to Pyeongchang, events were also held in Gangneung Indoor Ice Rink.",https://en.wikipedia.org/wiki/2013_Special_Olympics_World_Winter_Games
Hotel Koldingfjord,"Hotel Koldingfjord is a hotel and conference centre located on the north side of Kolding Fjord near Kolding, Denmark.",https://en.wikipedia.org/wiki/Hotel_Koldingfjord
Cool (aesthetic),"Coolness, or being cool, is the aesthetic quality of something (such as attitude, behavior, appearance, or style) being generally admired by society. Because of the varied and changing interpretation of what is considered cool, as well as its subjective nature, the word has no single meaning. For most, coolness is associated with exemplifying composure and self-control. When used in conversation, it is often as an expression of admiration or approval, and can be used when referencing both people and items of interest. Although commonly regarded as slang, cool is widely used among disparate social groups and has endured in usage for generations.",https://en.wikipedia.org/wiki/Cool_(aesthetic)
Paso Ancho,"Paso Ancho is a corregimiento in Tierras Altas District, Chiriquí Province, Panama. It was established by Law 55 of September 13, 2013.",https://en.wikipedia.org/wiki/Paso_Ancho
Harrakheda,"Harrakheda is a village in the Bhopal district of Madhya Pradesh, India. It is located in the Berasia tehsil.

",https://en.wikipedia.org/wiki/Harrakheda
YF-102 (rocket engine),"The YF-102 is a Chinese liquid rocket engine burning LOX and kerosene in a gas generator cycle. It is manufactured by the AALPT based on the experience of previous kerolox engines, and using 3D printing technology and is capable of multiple restarts. It is used in Tianlong-2 launch vehicle developed by Space Pioneer.

",https://en.wikipedia.org/wiki/YF-102_(rocket_engine)
Okanagana,Okanagana is a genus of cicadas in the family Cicadidae. There are at 58 described species in Okanagana.,https://en.wikipedia.org/wiki/Okanagana
"Kenoma, Missouri","Kenoma is an unincorporated community in Barton County, Missouri, United States. It is located six miles southeast of Lamar.","https://en.wikipedia.org/wiki/Kenoma,_Missouri"
Motorcycle lane,"Motorcycle lane is a term used for the special lane on a roadway that is designated for small vehicles such as motorcycles, scooters, bicycles and trishaw. It's usually situated between the other lanes, marked by 2 parallel yellow lines. Due to the popularity of such vehicles in several Asian countries, motorcycle lanes are commonly found there.",https://en.wikipedia.org/wiki/Motorcycle_lane
Fontannes,"Fontannes (French pronunciation: [fɔ̃tan]; Occitan: Fontannes) is a commune in the Haute-Loire department in south-central France.

",https://en.wikipedia.org/wiki/Fontannes
"San Antonio District, Puno",San Antonio District or San Antonio de Esquilache District is one of fifteen districts of the Puno Province in the Puno Region of Peru.,"https://en.wikipedia.org/wiki/San_Antonio_District,_Puno"
Parornix melanotella,"Parornix melanotella is a moth of the family Gracillariidae. It is known from Canada (Québec) the United States (Pennsylvania, Maine and Vermont).
The larvae feed on Crataegus species. They mine the leaves of their host plant.",https://en.wikipedia.org/wiki/Parornix_melanotella
List of banks in Serbia,This is a list of banks in Serbia.,https://en.wikipedia.org/wiki/List_of_banks_in_Serbia
Sezincote (settlement),"Sezincote or Seasoncote is a settlement and civil parish comprising Sezincote House and its estate, situated about 3 miles from Stow-on-the-Wold in the Cotswold district of Gloucestershire, England. In 2001 the parish had a population of 90. The parish touches Bourton-on-the-Hill, Condicote, Cutsdean, Longborough and Moreton-in-Marsh. Sezincote has a parish meeting.

",https://en.wikipedia.org/wiki/Sezincote_(settlement)
1999 World Championships in Athletics – Women's heptathlon,"These are the official results of the Women's Heptathlon competition at the 1999 World Championships in Seville, Spain. 22 athletes participated including four non-finishers. The competition started on Saturday 21 August 1999 and ended on Sunday 22 August 1999. The winning margin was 137 points.

",https://en.wikipedia.org/wiki/1999_World_Championships_in_Athletics_%E2%80%93_Women%27s_heptathlon
1916 Buffalo High School,"The 1916 Buffalo High School, also known as Buffalo-Tower City Senior High School, is a property in Buffalo, North Dakota that was listed on the National Register of Historic Places (NRHP). It is located near the center of Buffalo, near the Old Stone Church which is also NRHP-listed.
It was built in 1916 in Classical Revival style, and was designed and/or built by A.J. O'Shea and Meineke Building Co.
At the time of the listing, the property was owned by the Buffalo Historical Society. The listing included one contributing building.",https://en.wikipedia.org/wiki/1916_Buffalo_High_School
Lobophorodes,Lobophorodes is a genus of moths in the family Geometridae.,https://en.wikipedia.org/wiki/Lobophorodes
Fern spike,"In paleontology, a fern spike is the occurrence of unusually high spore abundance of ferns in the fossil record, usually immediately (in a geological sense) after an extinction event. The spikes are believed to represent a large, temporary increase in the number of ferns relative to other terrestrial plants after the extinction or thinning of the latter. Fern spikes are strongly associated with the Cretaceous–Paleogene extinction event, although they have been found in other points of time and space such as at the Triassic-Jurassic boundary. Outside the fossil record, fern spikes have been observed to occur in response to local extinction events, such as the 1980 Mount St. Helens eruption.

",https://en.wikipedia.org/wiki/Fern_spike
Rēzekne Castle,"Rēzekne Castle ruins (German: Burg Rositten) are located in the downtown of Rēzekne, Latvia, a city in the center of Latgale. The castle served as a base of the local Livonian order landlords until the 16th century and also as the main military support base for battles against Russians and Lithuanians. Today, fragments of the stone walls and the foundation can be seen on the ancient castle hill.",https://en.wikipedia.org/wiki/R%C4%93zekne_Castle
"Barthel, Saskatchewan","Barthel is an unincorporated community in northern Saskatchewan, Canada. It is a populated locality, an area similar to a locality but with a small group of dwellings or other buildings.
It is near the following areas: 

Horse Head (13.4 km)
Loon River (24.5 km)
Morin Creek (26.9 km)
Bright Sand (29.8 km)
Stowlea (30.6 km)
Whelan (33.3 km)
Glenbogie (34.5 km)
Blue Bell (36.9 km)
Little Fishing Lake (37.1 km)
Red Cross (37.9 km)
Elmhurst (39.9 km)
Kilronan (41.4 km)
Makwa (14 km)
Loon Lake (16.6 km)
St. Walburg (34.4 km)","https://en.wikipedia.org/wiki/Barthel,_Saskatchewan"
Atibaia,"Atibaia (or Estância de Atibaia) is a Brazilian municipality in the state of São Paulo, Brazil. The name is derived from an indigenous language called Tupi, and means ""healthy water river"". Its name has changed over time, from the primitive Tupi word Tybaia, to Thibaia, Atubaia, Thibaya, and finally the city's modern name, Atibaia.
Its strawberry crops are well known. These crops are cultivated mainly by Japanese descendants, since the city was a common Japanese immigrant center.
However, according to IBGE, the city is a conurbation with Bom Jesus dos Perdões, due to its proximity, which makes it the largest urban agglomeration in the Bragantina Region, with more than 180 thousand inhabitants.

",https://en.wikipedia.org/wiki/Atibaia
Brachygobius kabiliensis,"Brachygobius kabiliensis, commonly known as the kabili bumblebee goby, is a species of goby.

",https://en.wikipedia.org/wiki/Brachygobius_kabiliensis
Vaucluse,"Vaucluse (French: [voklyz]; Provençal: Vauclusa (Classical norm) or Vau-Cluso (Mistralian norm)) is a department in the southeastern French region of Provence-Alpes-Côte d'Azur. It had a population of 561,469 as of 2019. The department's prefecture is Avignon.
It is named after a spring, the Fontaine de Vaucluse, one of the largest karst springs in the world. The name Vaucluse itself derives from the Latin Vallis Clausa (""closed valley"") as the valley ends in a cliff face from which the spring emanates.",https://en.wikipedia.org/wiki/Vaucluse
Citrus depressa,"Citrus depressa (Citrus × depressa, formerly C. pectinifera, Okinawan: シークヮーサー/シークァーサー, romanized: shiikwaasa, Japanese: ヒラミレモン, romanized: hirami remon or シークヮーサー, shiikwāsā, in English sometimes called shiikuwasha, shequasar, Taiwan tangerine, Okinawa lime, flat lemon, hirami lemon, or thin-skinned flat lemon, is a small citrus fruit often harvested and used when green, rich in flavonoids and native to East Asia (Taiwan and Okinawa Islands, Japan).
Very sour, it is often used like lemon or lime to garnish dishes, but is also used to make jams, or a yellow juice, which can be thinned or sweetened.
Its name is occasionally translated into English as calamansi (calamondin), but strictly speaking, this is a different fruit.
Shiikwaasa is primarily produced in southwest Japan, in the northern region of the main Okinawa island, along with another indigenous Japanese citrus, Tachibana (Citrus tachibana). The two are not the only species of citrus currently growing on the island, as there have been foreign species introduced and have since been crossbred alongside Citrus depressa. Despite the varying diversity of citrus currently found in the region, only Shiikwasa and Tachibana are native to this region, originating in the Ryukyu Islands.

",https://en.wikipedia.org/wiki/Citrus_depressa
"Podgórze, Ostrowiec County","Podgórze [pɔdˈɡuʐɛ] is a village in the administrative district of Gmina Ćmielów, within Ostrowiec County, Świętokrzyskie Voivodeship, in south-central Poland. It lies approximately 11 kilometres (7 mi) north of Ćmielów, 13 km (8 mi) north-east of Ostrowiec Świętokrzyski, and 68 km (42 mi) east of the regional capital Kielce.","https://en.wikipedia.org/wiki/Podg%C3%B3rze,_Ostrowiec_County"
Serrata boussoufae,"Serrata boussoufae is a species of sea snail, a marine gastropod mollusc in the family Marginellidae, the margin snails.",https://en.wikipedia.org/wiki/Serrata_boussoufae
Quinindé,"Quinindé, also known as Rosa Zárate, is a town in the Esmeraldas province of Ecuador.",https://en.wikipedia.org/wiki/Quinind%C3%A9
Charavali,"Charivari (, UK also , US also , alternatively spelled shivaree or chivaree and also called a skimmington) was a European and North American folk custom designed to shame a member of the community, in which a mock parade was staged through the settlement accompanied by a discordant mock serenade. Since the crowd aimed to make as much noise as possible by beating on pots and pans or anything that came to hand, these parades were often referred to as rough music.
Parades were of three types. In the first and generally most violent form, an alleged wrongdoer (or wrongdoers) might be dragged from his or her home or place of work and paraded by force through a community. In the process, the victim was subject to the derision of the crowd and might be pelted and was frequently dunked at the end of the proceedings. A safer form involved a neighbour of the wrongdoer impersonating the victim while being carried through the streets. The impersonator was obviously not him or herself punished and often cried out or sang ribald verses mocking the wrongdoer. In the common form, an effigy was employed instead, abused and often burnt at the end of the proceedings.
Communities used ""rough music"" to express their disapproval of different types of violation of community norms. For example, they might target marriages of which they disapproved such as a union between an older widower and much younger woman, or the premature remarriage of a widow or widower. Villages also used charivari in cases of adulterous relationships, against wife-beaters or unmarried mothers. It was also used as a form of shaming upon husbands who were beaten by their wives and had not stood up for themselves. In some cases, the community disapproved of any remarriage by older widows or widowers. Charivari is the original French word, and in Canada it is used by both Anglophones and Francophones. Chivaree became the common variant in Ontario, Canada. In the United States, the term shivaree is more common.
As species of popular justice rites, Charivaric events were carefully planned and they were often staged at times of traditional festivity thereby blending delivering justice and celebration.",https://en.wikipedia.org/wiki/Charivari
List of governors of Delta State,"This is a list of administrators and governors of Delta State, Nigeria, which was formed on 27 August 1991, when the old Bendel State was split into Edo State and Delta State.",https://en.wikipedia.org/wiki/List_of_governors_of_Delta_State
Beijing Garden Expo Park,"Beijing Garden Expo Park (北京园博园) (formerly known as Yingshan Forest Park) is located in Fengtai District, Beijing, near the Yongding River and Marco Polo Bridge. It was the site of the 2013 Garden Expo. After the expo, the park was reconstructed and open to public as an urban and forest park. The park is located on the east–west axis of urban Beijing. It has five sub-parks that hold different landscapes. It is also home to an important area of wetlands in Beijing.",https://en.wikipedia.org/wiki/Beijing_Garden_Expo_Park
